# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
5.487897082409460810e-04 9.603077141890095092e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
8.571845991000439646e-01 1.605135323788642043e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
5.169332500003004371e-01 1.817318582408225802e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
5.423290880107094480e-01 1.795753189468647093e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
4.428251957970432140e-01 1.877741780365826674e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
4.614218052258178826e-01 1.853516842591220737e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
5.669524648556054647e-01 1.769419951321914708e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
8.862225114521433966e-02 2.852028078599526673e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
1.259841209213106716e-01 2.639532069824400140e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
6.694151198044253626e-01 1.696750245309492366e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
1.651056613310161181e-01 2.424684978921769762e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
3.099989436493845174e-01 2.048847045954621249e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
6.910506838486307757e-02 3.039864221473111972e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
5.477549489191285703e-01 1.777776951812689021e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
3.240282036051137515e-01 2.042861109883398474e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
5.514303478526742450e-03 5.509490583059634128e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
3.905106957387176614e-01 1.940031586109531858e-01 0.000000000000000000e+00 1.000000000000000000e+00 6.660000000000000000e+02
