# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
8.293347817663156984e-01 1.518023291155527199e-01 1.183852888196001985e-03 9.000000000000000000e+00 4.800000000000000000e+01
7.170980785572603766e-01 1.574514167082651794e-01 1.170396989090827233e-03 5.000000000000000000e+00 2.500000000000000000e+01
6.288477105069107953e-01 1.622383140740642216e-01 2.947508630722628364e-04 3.200000000000000000e+01 2.950000000000000000e+02
5.446743550399166800e-01 1.688208807681727819e-01 1.214774065363216637e-03 3.000000000000000000e+00 8.000000000000000000e+00
4.552053578530942946e-01 1.763813849218917318e-01 3.112734727264532264e-03 1.000000000000000000e+01 5.000000000000000000e+01
4.189650134506922585e-01 1.799846505489966220e-01 1.053456862551788165e-03 4.000000000000000000e+00 1.100000000000000000e+01
3.669529808814296912e-01 1.854140614312694280e-01 8.203242530069876359e-04 1.000000000000000000e+01 5.100000000000000000e+01
3.223955912583514327e-01 1.910717318946280330e-01 8.154512245479583754e-04 3.900000000000000000e+01 3.170000000000000000e+02
2.869613301947053774e-01 1.966205674627169164e-01 7.017433008192075494e-04 9.000000000000000000e+00 4.100000000000000000e+01
2.549329946241626343e-01 2.024576310856286698e-01 8.762634319133544292e-04 9.000000000000000000e+00 3.800000000000000000e+01
2.285457686566637059e-01 2.080494197051558081e-01 8.055085596228583888e-04 9.000000000000000000e+00 3.800000000000000000e+01
2.057242665660263536e-01 2.135440289777665590e-01 6.375743404159750494e-04 1.400000000000000000e+01 6.500000000000000000e+01
1.854318840586760553e-01 2.191922319117747264e-01 6.232337826065637021e-04 1.100000000000000000e+01 4.900000000000000000e+01
1.679513573649668023e-01 2.247976080228361873e-01 5.660664018503902550e-04 1.300000000000000000e+01 6.100000000000000000e+01
1.507008156223920148e-01 2.304645365276891122e-01 5.704514148856809630e-04 1.130000000000000000e+02 6.450000000000000000e+02
1.380418212332225891e-01 2.366660326071954867e-01 1.109404002574448933e-03 8.900000000000000000e+01 4.940000000000000000e+02
1.238573806317556647e-01 2.418581725847097630e-01 6.390004882710909051e-04 2.800000000000000000e+01 1.150000000000000000e+02
1.442959155038252561e-01 2.328720280263409659e-01 0.000000000000000000e+00 2.500000000000000000e+02 1.061000000000000000e+03
1.048659523644919350e-01 2.521640650015447016e-01 0.000000000000000000e+00 2.500000000000000000e+02 9.910000000000000000e+02
9.691040579400458932e-02 2.588033893480466419e-01 5.965867761550947002e-04 3.500000000000000000e+01 1.500000000000000000e+02
1.200856814663748551e-01 2.466202303449149813e-01 0.000000000000000000e+00 2.500000000000000000e+02 1.021000000000000000e+03
9.269545685230708154e-02 2.627624216837305959e-01 0.000000000000000000e+00 2.500000000000000000e+02 9.630000000000000000e+02
8.444034418217455373e-02 2.741090473534413263e-01 0.000000000000000000e+00 2.500000000000000000e+02 9.510000000000000000e+02
7.199943745345330215e-02 2.816339965543910862e-01 7.770200152290573925e-04 1.100000000000000000e+01 5.400000000000000000e+01
6.505557026410767330e-02 2.873177406091781405e-01 7.982205781985052262e-04 8.000000000000000000e+00 3.500000000000000000e+01
5.921715282908202038e-02 2.928881479306565949e-01 7.060844078593531137e-04 8.000000000000000000e+00 3.600000000000000000e+01
5.399571215562252308e-02 2.986947647907138292e-01 8.501577760989253996e-04 7.000000000000000000e+00 3.200000000000000000e+01
1.030712985743412746e-01 3.052624294371862335e-01 1.755278930753723099e-03 2.500000000000000000e+02 2.001000000000000000e+03
1.071054833236337461e-01 3.034170806196763159e-01 0.000000000000000000e+00 2.500000000000000000e+02 2.987000000000000000e+03
7.297179096885375582e-02 3.158794266447095267e-01 1.047189154641747777e-03 2.500000000000000000e+02 1.448000000000000000e+03
5.908703812462880872e-02 3.222367282049321546e-01 1.741947223046824700e-03 3.000000000000000000e+00 2.000000000000000000e+01
4.815425511983217194e-02 3.265877754619641582e-01 4.304509882611662341e-04 1.100000000000000000e+01 7.300000000000000000e+01
1.323111388092151897e-01 3.322608432246463295e-01 4.409752591257309895e-04 2.500000000000000000e+02 1.570000000000000000e+03
4.449853184791571076e-02 3.382880839843477316e-01 8.056725270095266289e-04 1.600000000000000000e+01 6.700000000000000000e+01
6.032559962619756661e-02 3.474148067433253106e-01 4.269851794169443604e-03 2.500000000000000000e+02 2.894000000000000000e+03
4.466736573402149690e-02 3.530327118239848239e-01 4.225213383011350299e-03 2.000000000000000000e+00 1.700000000000000000e+01
3.751092818891057362e-02 3.571955819983307356e-01 2.725540065539655554e-03 2.000000000000000000e+00 1.700000000000000000e+01
8.044767044452298677e-02 3.631022676633923751e-01 2.969682238783633021e-03 2.500000000000000000e+02 2.711000000000000000e+03
2.656750534273939063e-02 3.663412732188426890e-01 5.461443024163403770e-04 2.100000000000000000e+01 9.300000000000000000e+01
2.280428719519405831e-02 3.733981396487583981e-01 1.940467240514442970e-03 3.000000000000000000e+00 1.900000000000000000e+01
2.112230653650497628e-02 3.781091923104695218e-01 9.889764104079046270e-04 7.000000000000000000e+00 4.300000000000000000e+01
1.964176730242430530e-02 3.839904518290199742e-01 1.207692437140750474e-03 5.000000000000000000e+00 2.500000000000000000e+01
1.845370411096929411e-02 3.893994720461306791e-01 9.541691624338488609e-04 5.000000000000000000e+00 2.500000000000000000e+01
1.718522590064427633e-02 3.956536811586631730e-01 1.545834783148680724e-03 1.000000000000000000e+01 5.000000000000000000e+01
