# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
8.251506300993363130e-01 1.520824519747019654e-01 1.463975747345247491e-03 3.000000000000000000e+00 2.300000000000000000e+01
7.148503919302291454e-01 1.575746300277114653e-01 1.293610308537113118e-03 3.000000000000000000e+00 2.300000000000000000e+01
6.203479083196518085e-01 1.632837767968898512e-01 1.340213585897892523e-03 3.000000000000000000e+00 2.300000000000000000e+01
5.415980316420268004e-01 1.688060747952085383e-01 1.199968092398973063e-03 3.000000000000000000e+00 2.300000000000000000e+01
4.725724327584840401e-01 1.745268809594332227e-01 1.258230764806023139e-03 3.000000000000000000e+00 2.400000000000000000e+01
4.220459019221612373e-01 1.798928227212349962e-01 9.616290347901623736e-04 3.000000000000000000e+00 2.400000000000000000e+01
3.688869988825980717e-01 1.856411667362944662e-01 1.047429558032025865e-03 3.000000000000000000e+00 2.500000000000000000e+01
3.245498676192661303e-01 1.914139756940228809e-01 1.157695023942806323e-03 3.000000000000000000e+00 2.300000000000000000e+01
2.886967026913860868e-01 1.969737982589282732e-01 1.054974097030564328e-03 3.000000000000000000e+00 2.300000000000000000e+01
2.571540134603796934e-01 2.026238107031946567e-01 1.042443049479341299e-03 3.000000000000000000e+00 2.500000000000000000e+01
2.298891394407812372e-01 2.082564875248962555e-01 1.012576379363305801e-03 3.000000000000000000e+00 2.300000000000000000e+01
2.060988237743748008e-01 2.138984174281657047e-01 9.919627908151207318e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.852975881412600723e-01 2.195418218372702790e-01 9.728237081021162691e-04 3.000000000000000000e+00 2.500000000000000000e+01
1.673663209089922277e-01 2.252341505480737749e-01 1.002608927087977886e-03 3.000000000000000000e+00 2.100000000000000000e+01
1.512498633992600539e-01 2.308335336023496498e-01 9.394484895462185126e-04 3.000000000000000000e+00 2.500000000000000000e+01
1.367503011214681041e-01 2.365137174604781956e-01 9.570888558571577498e-04 3.000000000000000000e+00 2.500000000000000000e+01
1.242920928545256237e-01 2.421207738657161768e-01 9.016017692775046832e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.145037136333911520e-01 2.474938736665568961e-01 6.121580783005897697e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.035911744458866829e-01 2.534528883520319464e-01 9.086292719580613131e-04 3.000000000000000000e+00 2.400000000000000000e+01
9.538567656581706244e-02 2.589738262738208174e-01 7.670237019292702740e-04 3.000000000000000000e+00 2.000000000000000000e+01
8.674921431279546125e-02 2.647950215420709630e-01 9.256754783618093008e-04 3.000000000000000000e+00 2.400000000000000000e+01
7.922379756586647725e-02 2.704768937180243582e-01 9.450041624975979992e-04 3.000000000000000000e+00 2.400000000000000000e+01
7.290458625709402007e-02 2.760436159945506840e-01 8.491829472062617512e-04 3.000000000000000000e+00 2.500000000000000000e+01
6.707012402598364065e-02 2.817338746803778604e-01 8.768981412158316502e-04 3.000000000000000000e+00 2.300000000000000000e+01
6.190692033646646303e-02 2.873551599241690457e-01 8.356398931894104543e-04 3.000000000000000000e+00 2.400000000000000000e+01
5.761185854812596319e-02 2.928640423260125414e-01 6.819788032152995783e-04 3.000000000000000000e+00 2.100000000000000000e+01
5.306918184348784900e-02 2.987238967984557902e-01 8.792897838408864075e-04 3.000000000000000000e+00 2.400000000000000000e+01
4.896546840143625040e-02 3.044652666839998134e-01 9.581161775673030512e-04 3.000000000000000000e+00 2.300000000000000000e+01
4.548091750515977777e-02 3.100252483350805499e-01 8.555543368304330265e-04 3.000000000000000000e+00 2.400000000000000000e+01
4.223334672790502592e-02 3.157074982564987975e-01 8.752607664310185775e-04 3.000000000000000000e+00 2.300000000000000000e+01
3.948960289906497390e-02 3.212617942311876695e-01 7.670132493023396059e-04 3.000000000000000000e+00 2.000000000000000000e+01
3.706208202919650252e-02 3.268603894283323430e-01 7.030649546293510355e-04 3.000000000000000000e+00 1.700000000000000000e+01
3.434228552539955737e-02 3.327221138590153449e-01 9.022458934947463760e-04 3.000000000000000000e+00 2.600000000000000000e+01
3.223096059939006136e-02 3.382972489030663943e-01 8.148374457281892802e-04 3.000000000000000000e+00 2.000000000000000000e+01
2.993591940786010860e-02 3.441652349485620488e-01 1.020279999406181748e-03 3.000000000000000000e+00 2.500000000000000000e+01
2.788109112306195667e-02 3.498297660340762838e-01 1.022267593102810235e-03 3.000000000000000000e+00 2.500000000000000000e+01
2.618836446234186141e-02 3.553023650279026335e-01 8.323230951115534459e-04 3.000000000000000000e+00 2.600000000000000000e+01
2.451794912424094808e-02 3.611038200153717792e-01 9.712345907630370867e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.306095650681909415e-02 3.667856092838840398e-01 9.904803674576911909e-04 3.000000000000000000e+00 2.300000000000000000e+01
2.166166498792173808e-02 3.725307666783764238e-01 1.073094270132468608e-03 3.000000000000000000e+00 2.300000000000000000e+01
2.035146184469678599e-02 3.781999039222411207e-01 1.079688022179503548e-03 3.000000000000000000e+00 2.500000000000000000e+01
1.917004164615999234e-02 3.838064747948254918e-01 1.023715402946268060e-03 3.000000000000000000e+00 2.300000000000000000e+01
1.805815626247765648e-02 3.894773278880137579e-01 1.032025004316927674e-03 3.000000000000000000e+00 2.500000000000000000e+01
1.708430349154398467e-02 3.950796940017226588e-01 9.718476262081665595e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.612099789617065307e-02 4.008279082279048167e-01 1.057518360572717864e-03 3.000000000000000000e+00 2.600000000000000000e+01
1.521002260302867573e-02 4.064973796884793211e-01 1.064446329329671315e-03 3.000000000000000000e+00 2.700000000000000000e+01
1.440655967202669058e-02 4.120064113760985025e-01 9.109345251311351532e-04 3.000000000000000000e+00 2.800000000000000000e+01
1.362728913331266896e-02 4.176746379325578240e-01 9.166175897729056388e-04 3.000000000000000000e+00 2.800000000000000000e+01
1.292512986497249168e-02 4.232307971082527320e-01 8.102332736502071420e-04 3.000000000000000000e+00 2.800000000000000000e+01
1.225041717606437444e-02 4.288991215456076644e-01 8.160142191874775186e-04 3.000000000000000000e+00 2.800000000000000000e+01
1.163216843156930115e-02 4.345470625708140466e-01 8.014117525762531891e-04 3.000000000000000000e+00 2.600000000000000000e+01
1.105782186187172396e-02 4.402011266539836432e-01 7.929323439282431885e-04 3.000000000000000000e+00 2.400000000000000000e+01
