# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
8.251438724420767645e-01 1.520831623055658444e-01 1.464686078209126441e-03 3.000000000000000000e+00 2.300000000000000000e+01
7.146216292888807331e-01 1.575904967643830812e-01 1.309477045208728985e-03 3.000000000000000000e+00 2.300000000000000000e+01
6.201552080800657452e-01 1.632389955540136661e-01 1.295432343021707400e-03 3.000000000000000000e+00 2.300000000000000000e+01
5.411076592020914733e-01 1.688400826433008317e-01 1.233975940491266465e-03 3.000000000000000000e+00 2.300000000000000000e+01
4.765628788962547602e-01 1.739574349165254330e-01 6.887847218982334763e-04 4.000000000000000000e+00 2.500000000000000000e+01
4.156421561542331666e-01 1.798125558850668937e-01 8.813621986220598892e-04 3.000000000000000000e+00 2.400000000000000000e+01
3.689158564352111869e-01 1.851085747000210668e-01 5.148375217586265151e-04 4.000000000000000000e+00 2.700000000000000000e+01
3.241610590049731067e-01 1.911020545555767447e-01 8.457738854966700970e-04 3.000000000000000000e+00 2.400000000000000000e+01
2.900612739408848229e-01 1.963471835844779190e-01 4.283594225802100919e-04 4.000000000000000000e+00 2.600000000000000000e+01
2.564694629449736363e-01 2.024500168043617820e-01 8.686491506464666390e-04 3.000000000000000000e+00 2.700000000000000000e+01
2.314446863879028593e-01 2.075886075362525229e-01 3.446963907195732535e-04 4.000000000000000000e+00 2.600000000000000000e+01
2.062382296753589306e-01 2.136931165123870380e-01 7.866618750364540169e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.865202181476868504e-01 2.190349136480322367e-01 4.659155188640740075e-04 4.000000000000000000e+00 2.400000000000000000e+01
1.664994495130714125e-01 2.251505387606192454e-01 9.189971396334484233e-04 3.000000000000000000e+00 2.000000000000000000e+01
1.520380704176621522e-01 2.302348747990436428e-01 3.407896862402115534e-04 4.000000000000000000e+00 2.600000000000000000e+01
1.367402848704496188e-01 2.363435170346782077e-01 7.868884300571699075e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.242228360903070428e-01 2.420829142561549963e-01 8.637421597163241760e-04 3.000000000000000000e+00 2.300000000000000000e+01
1.138598908871368831e-01 2.476665151257256281e-01 7.847995374693217396e-04 3.000000000000000000e+00 2.200000000000000000e+01
1.033811096122423528e-01 2.534538827795767557e-01 9.096236995028705863e-04 3.000000000000000000e+00 2.300000000000000000e+01
9.490644212433038684e-02 2.590545544974522385e-01 8.477519255606913440e-04 3.000000000000000000e+00 2.000000000000000000e+01
8.661395216550581144e-02 2.647779313428904602e-01 9.085852791813064933e-04 3.000000000000000000e+00 2.400000000000000000e+01
7.912770117517455015e-02 2.705080336459400603e-01 9.761440904133000807e-04 3.000000000000000000e+00 2.400000000000000000e+01
7.329472982699222761e-02 2.755681073339105724e-01 3.736742865661502044e-04 4.000000000000000000e+00 2.900000000000000000e+01
6.685794401262100395e-02 2.816806652925207821e-01 8.236887533587533561e-04 3.000000000000000000e+00 2.500000000000000000e+01
6.182969724066525452e-02 2.872802470342014081e-01 7.607270032217727795e-04 3.000000000000000000e+00 2.500000000000000000e+01
5.745236654724646813e-02 2.928890596529892809e-01 7.069961301920391072e-04 3.000000000000000000e+00 2.100000000000000000e+01
5.297887731715805737e-02 2.987260564830669929e-01 8.814494684520890466e-04 3.000000000000000000e+00 2.400000000000000000e+01
4.897696631246737514e-02 3.044428169831185915e-01 9.356664766860811611e-04 3.000000000000000000e+00 2.300000000000000000e+01
4.547273659668399359e-02 3.100462696203539759e-01 8.765756221038589757e-04 3.000000000000000000e+00 2.400000000000000000e+01
4.222905983294423377e-02 3.157214698838637368e-01 8.892323937959578650e-04 3.000000000000000000e+00 2.300000000000000000e+01
3.953727046235080284e-02 3.212057227683435268e-01 7.109417864581968338e-04 3.000000000000000000e+00 1.800000000000000000e+01
3.671508287668496379e-02 3.270666125076946984e-01 9.092880339917064347e-04 3.000000000000000000e+00 2.400000000000000000e+01
3.413542420948386530e-02 3.327966200914161399e-01 9.767521258955413899e-04 3.000000000000000000e+00 2.500000000000000000e+01
3.190427835354747027e-02 3.383923059693551005e-01 9.098945120168955292e-04 3.000000000000000000e+00 2.400000000000000000e+01
2.980837134451506248e-02 3.440891327851131054e-01 9.441778359572383650e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.790409353401348061e-02 3.497618786963537230e-01 9.543802553802493982e-04 3.000000000000000000e+00 2.400000000000000000e+01
2.614385476151614984e-02 3.554324929761326080e-01 9.624510433415278676e-04 3.000000000000000000e+00 2.400000000000000000e+01
2.451221694777227719e-02 3.611132250028687429e-01 9.806395782600008104e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.319040581499337561e-02 3.663965786707469863e-01 6.014497543206376307e-04 3.000000000000000000e+00 2.000000000000000000e+01
2.172784367199570577e-02 3.723129206207368980e-01 8.552482124929428053e-04 3.000000000000000000e+00 2.500000000000000000e+01
2.048274781183927890e-02 3.775522369573254822e-01 4.320210572638649715e-04 3.000000000000000000e+00 2.400000000000000000e+01
1.918989489764666434e-02 3.838048136057187754e-01 1.022054213839551640e-03 3.000000000000000000e+00 2.400000000000000000e+01
1.807948686325411974e-02 3.895761884993875213e-01 1.130885615690691015e-03 3.000000000000000000e+00 2.500000000000000000e+01
1.717757117526138438e-02 3.949274062186478584e-01 8.195598431333661615e-04 3.000000000000000000e+00 2.000000000000000000e+01
1.613749835956742804e-02 4.009504692516944191e-01 1.180079384362320294e-03 3.000000000000000000e+00 2.600000000000000000e+01
1.520891552798640106e-02 4.066028094500427903e-01 1.169876090893140486e-03 3.000000000000000000e+00 2.700000000000000000e+01
1.441300456081460665e-02 4.120745491089660706e-01 9.790722579987032326e-04 3.000000000000000000e+00 2.500000000000000000e+01
1.363340371489084324e-02 4.177012357134891052e-01 9.432153707041868174e-04 3.000000000000000000e+00 2.800000000000000000e+01
1.292625332497440716e-02 4.232529598598699927e-01 8.323960252674678095e-04 3.000000000000000000e+00 2.800000000000000000e+01
1.224989593521461258e-02 4.289032779272814455e-01 8.201706008612585919e-04 3.000000000000000000e+00 2.800000000000000000e+01
1.168177230701223854e-02 4.342358377206376741e-01 4.901869023998806085e-04 3.000000000000000000e+00 2.100000000000000000e+01
1.106479394500613569e-02 4.402231483285370950e-01 8.149540184816950195e-04 3.000000000000000000e+00 2.700000000000000000e+01
1.054641931863370408e-02 4.454199951353567943e-01 3.492573334837323351e-04 4.000000000000000000e+00 3.100000000000000000e+01
9.990597959947467369e-03 4.511916381472100834e-01 4.583568535194149085e-04 3.000000000000000000e+00 3.000000000000000000e+01
9.524855218199209175e-03 4.568499309069709580e-01 4.541061214626829212e-04 3.000000000000000000e+00 2.300000000000000000e+01
9.105640663766696036e-03 4.624359484529881881e-01 3.775801756622509942e-04 3.000000000000000000e+00 2.300000000000000000e+01
8.714903546911763679e-03 4.680746197428615196e-01 3.537079737179760208e-04 3.000000000000000000e+00 2.300000000000000000e+01
8.245591055841057504e-03 4.739349371226775909e-01 5.514818617164407577e-04 3.000000000000000000e+00 3.100000000000000000e+01
7.861204963004821827e-03 4.792467485624345436e-01 2.007498096557314149e-04 4.000000000000000000e+00 3.600000000000000000e+01
7.481974301849392446e-03 4.851240938014752535e-01 4.155515568788348268e-04 3.000000000000000000e+00 2.900000000000000000e+01
7.151727645825249266e-03 4.905622681235918825e-01 1.911823871779128048e-04 4.000000000000000000e+00 3.300000000000000000e+01
6.811325456299558920e-03 4.963772583820436068e-01 3.436291538119196076e-04 3.000000000000000000e+00 3.200000000000000000e+01
6.525394712267770271e-03 5.019454793611950461e-01 2.493066411457522946e-04 3.000000000000000000e+00 2.300000000000000000e+01
6.229424357064122959e-03 5.077855348078115227e-01 4.268185959446224587e-04 3.000000000000000000e+00 3.200000000000000000e+01
5.970503333684176912e-03 5.131783771943391192e-01 1.571174906546124461e-04 4.000000000000000000e+00 3.700000000000000000e+01
5.716309347207506816e-03 5.188976433874958882e-01 2.138401919937749085e-04 3.000000000000000000e+00 2.600000000000000000e+01
5.489463602149293950e-03 5.245427446820509765e-01 1.963979947311456087e-04 3.000000000000000000e+00 2.600000000000000000e+01
5.255645126671521991e-03 5.301428334872060333e-01 1.339433080685958899e-04 4.000000000000000000e+00 3.600000000000000000e+01
5.026629036644217514e-03 5.358755785637064895e-01 2.041448927514455391e-04 3.000000000000000000e+00 3.300000000000000000e+01
4.817007350467116152e-03 5.416224685690622653e-01 2.884914062896148934e-04 3.000000000000000000e+00 3.400000000000000000e+01
4.625716545139467624e-03 5.471223140964416309e-01 1.257934418513739772e-04 4.000000000000000000e+00 3.700000000000000000e+01
4.433220008526300195e-03 5.528040012838965067e-01 1.449371374886432307e-04 3.000000000000000000e+00 3.600000000000000000e+01
4.257993375309613096e-03 5.584348164730948971e-01 1.132088348693160995e-04 4.000000000000000000e+00 3.500000000000000000e+01
4.089775367882887702e-03 5.642288508032671235e-01 2.446996732240469541e-04 3.000000000000000000e+00 3.100000000000000000e+01
3.943419212189588040e-03 5.697713669658712732e-01 1.246723440105901304e-04 3.000000000000000000e+00 2.600000000000000000e+01
3.804575255166608039e-03 5.754252692299761662e-01 1.160311162977656352e-04 3.000000000000000000e+00 2.600000000000000000e+01
3.673250158937726561e-03 5.811179588365300575e-01 1.461772310340503367e-04 3.000000000000000000e+00 2.600000000000000000e+01
3.550791990611858358e-03 5.867499117137784381e-01 1.155866164648244876e-04 3.000000000000000000e+00 2.800000000000000000e+01
3.389572054608244126e-03 5.923176726555893223e-01 2.080406645810217725e-05 5.000000000000000000e+00 4.300000000000000000e+01
3.267172917843896851e-03 5.980643978257222937e-01 1.049857447734670046e-04 3.000000000000000000e+00 2.800000000000000000e+01
3.131896884242025419e-03 6.036454712109410314e-01 2.351563817459823014e-05 5.000000000000000000e+00 4.400000000000000000e+01
3.018572778685715483e-03 6.093810891265918350e-01 9.659006200768427419e-05 3.000000000000000000e+00 2.800000000000000000e+01
2.915811879714342962e-03 6.150297991025535094e-01 8.275654615175209727e-05 3.000000000000000000e+00 2.800000000000000000e+01
2.819823801931190671e-03 6.206946872262990578e-01 8.510117807969397319e-05 3.000000000000000000e+00 2.900000000000000000e+01
2.729956323693054961e-03 6.263422319667264482e-01 7.010242668947785916e-05 3.000000000000000000e+00 2.500000000000000000e+01
