# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
8.522837571453254490e-01 1.506185540665149203e-01 0.000000000000000000e+00 2.300000000000000000e+01 4.500000000000000000e+01
7.328165083320172801e-01 1.562810554220140369e-01 0.000000000000000000e+00 1.900000000000000000e+01 3.800000000000000000e+01
6.335371465493830900e-01 1.619435638767755259e-01 0.000000000000000000e+00 1.400000000000000000e+01 2.500000000000000000e+01
5.504921250741294791e-01 1.676061413988914339e-01 0.000000000000000000e+00 1.100000000000000000e+01 2.100000000000000000e+01
4.806030161973617876e-01 1.732686686221031058e-01 0.000000000000000000e+00 1.100000000000000000e+01 2.100000000000000000e+01
4.214492586962614862e-01 1.789312056955733310e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.900000000000000000e+01
3.711153699115766202e-01 1.845937534572237304e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.500000000000000000e+01
3.280673913208367876e-01 1.902562849682925550e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.500000000000000000e+01
2.910809826605668671e-01 1.959188302491547962e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.400000000000000000e+01
2.591598145023980004e-01 2.015813737738230138e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
2.314943080279294740e-01 2.072439165538786932e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
2.074229091436154693e-01 2.129064586398031755e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
1.863996486246262407e-01 2.185690023868618603e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
1.679734231812163026e-01 2.242315470702846980e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.100000000000000000e+01
1.517688186796556371e-01 2.298940902770425232e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
1.374724408539666765e-01 2.355566339009377286e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
1.248203581620090930e-01 2.412191773984503074e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
1.135919611141025520e-01 2.468817209062872386e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
1.035989131890274750e-01 2.525442656307767542e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
9.468164320990590799e-02 2.582068113085088101e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
8.670417448248832204e-02 2.638693573279451976e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01
7.955016741883523534e-02 2.695319031070855242e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01
7.311972963755310195e-02 2.751944484363665899e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01
6.732680843270380522e-02 2.808569933249111528e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01
6.209706078715635652e-02 2.865195379364242068e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01
5.736612947662103612e-02 2.921820829087786731e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01
5.307927188433293753e-02 2.978446218929758360e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
4.918376077757020959e-02 3.035071696998542512e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.300000000000000000e+01
4.564147855567797507e-02 3.091697102907838834e-01 0.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01
4.241325708571933722e-02 3.148322618242858639e-01 0.000000000000000000e+00 1.000000000000000000e+01 1.100000000000000000e+01
3.946506375847298048e-02 3.204948111640939512e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.200000000000000000e+01
3.676882172702085338e-02 3.261573524177897587e-01 0.000000000000000000e+00 1.200000000000000000e+01 1.300000000000000000e+01
