# energyFactor	econcomicFactor	constraintViolation	iteration	functionCalls
8.522858281037344330e-01 1.506184647839579616e-01 0.000000000000000000e+00 6.600000000000000000e+01 6.300000000000000000e+01
7.328172446659624306e-01 1.562810170438172774e-01 0.000000000000000000e+00 5.700000000000000000e+01 4.800000000000000000e+01
6.335370763860919130e-01 1.619435600061217562e-01 0.000000000000000000e+00 5.700000000000000000e+01 4.800000000000000000e+01
5.504922236516567313e-01 1.676061028837916578e-01 0.000000000000000000e+00 5.900000000000000000e+01 5.000000000000000000e+01
4.806028828012712251e-01 1.732686456753388116e-01 0.000000000000000000e+00 5.900000000000000000e+01 5.100000000000000000e+01
4.214489672134213438e-01 1.789311883603597331e-01 0.000000000000000000e+00 5.900000000000000000e+01 5.100000000000000000e+01
3.711136006910459306e-01 1.845937309362383483e-01 0.000000000000000000e+00 5.700000000000000000e+01 4.900000000000000000e+01
3.280671332156288589e-01 1.902562733879950008e-01 0.000000000000000000e+00 6.300000000000000000e+01 5.500000000000000000e+01
2.910803573248104126e-01 1.959188157091550364e-01 0.000000000000000000e+00 6.000000000000000000e+01 5.200000000000000000e+01
2.591589867817083448e-01 2.015813578759703961e-01 0.000000000000000000e+00 6.100000000000000000e+01 5.200000000000000000e+01
2.314937672973486626e-01 2.072438998917998099e-01 0.000000000000000000e+00 6.100000000000000000e+01 5.200000000000000000e+01
2.074221458816558339e-01 2.129064520560740581e-01 0.000000000000000000e+00 6.200000000000000000e+01 5.400000000000000000e+01
1.863988662359267745e-01 2.185689833706675467e-01 0.000000000000000000e+00 6.300000000000000000e+01 5.500000000000000000e+01
1.679724581957906526e-01 2.242315382611694830e-01 0.000000000000000000e+00 6.200000000000000000e+01 5.500000000000000000e+01
1.517677317864820907e-01 2.298940812986283166e-01 0.000000000000000000e+00 6.400000000000000000e+01 5.600000000000000000e+01
1.374710601234730989e-01 2.355566242882092820e-01 0.000000000000000000e+00 6.500000000000000000e+01 5.700000000000000000e+01
1.248192595443892577e-01 2.412191672255782904e-01 0.000000000000000000e+00 6.300000000000000000e+01 5.400000000000000000e+01
1.135905067233217713e-01 2.468817101083849441e-01 0.000000000000000000e+00 6.500000000000000000e+01 5.800000000000000000e+01
1.035970800608150000e-01 2.525442529311744955e-01 0.000000000000000000e+00 6.400000000000000000e+01 5.600000000000000000e+01
9.467950219429278891e-02 2.582067956903436601e-01 0.000000000000000000e+00 6.300000000000000000e+01 5.500000000000000000e+01
8.670178969471674379e-02 2.638693383805644777e-01 0.000000000000000000e+00 6.500000000000000000e+01 5.700000000000000000e+01
7.954758234153785912e-02 2.695318809988794806e-01 0.000000000000000000e+00 6.600000000000000000e+01 5.800000000000000000e+01
7.311697480698188534e-02 2.751944235389740534e-01 0.000000000000000000e+00 5.900000000000000000e+01 5.100000000000000000e+01
6.732391200003762233e-02 2.808569659944373798e-01 0.000000000000000000e+00 6.400000000000000000e+01 5.600000000000000000e+01
6.209403891792307506e-02 2.865195083647517627e-01 0.000000000000000000e+00 6.000000000000000000e+01 5.100000000000000000e+01
5.736291859304512575e-02 2.921820506387792227e-01 0.000000000000000000e+00 6.000000000000000000e+01 5.100000000000000000e+01
5.307454946687224784e-02 2.978445928148402144e-01 0.000000000000000000e+00 5.900000000000000000e+01 5.000000000000000000e+01
4.918012737677781437e-02 3.035071348832789617e-01 0.000000000000000000e+00 6.100000000000000000e+01 5.200000000000000000e+01
4.563700812213451752e-02 3.091696768432164455e-01 0.000000000000000000e+00 6.200000000000000000e+01 5.300000000000000000e+01
4.240783518135780861e-02 3.148322186833620862e-01 0.000000000000000000e+00 6.000000000000000000e+01 5.100000000000000000e+01
3.945980387532405792e-02 3.204947603991169514e-01 0.000000000000000000e+00 5.800000000000000000e+01 4.900000000000000000e+01
3.676403870284433717e-02 3.261573019773705284e-01 0.000000000000000000e+00 5.800000000000000000e+01 4.800000000000000000e+01
3.429506481486832570e-02 3.318198434279402420e-01 0.000000000000000000e+00 6.000000000000000000e+01 5.000000000000000000e+01
3.203035813544717614e-02 3.374823847257010789e-01 0.000000000000000000e+00 5.400000000000000000e+01 4.500000000000000000e+01
2.994996126617694224e-02 3.431449258707834349e-01 0.000000000000000000e+00 5.400000000000000000e+01 4.500000000000000000e+01
2.803615474592725809e-02 3.488074668544181023e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.400000000000000000e+01
2.627317488232009876e-02 3.544700076674804912e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.300000000000000000e+01
2.464697098590660357e-02 3.601325483013053663e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.300000000000000000e+01
2.314499595531184853e-02 3.657950887398378481e-01 0.000000000000000000e+00 5.400000000000000000e+01 4.400000000000000000e+01
2.175602521993261207e-02 3.714576289982722823e-01 0.000000000000000000e+00 5.200000000000000000e+01 4.200000000000000000e+01
2.046999985350629256e-02 3.771201690433508835e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.300000000000000000e+01
1.927789028026947321e-02 3.827827088734802041e-01 0.000000000000000000e+00 5.300000000000000000e+01 4.400000000000000000e+01
1.817157766892731757e-02 3.884452484761589663e-01 0.000000000000000000e+00 5.000000000000000000e+01 4.000000000000000000e+01
1.714375045932222189e-02 3.941077878424531500e-01 0.000000000000000000e+00 5.100000000000000000e+01 4.100000000000000000e+01
1.618781394471422233e-02 3.997703269516297842e-01 0.000000000000000000e+00 5.000000000000000000e+01 4.000000000000000000e+01
1.529781105431311447e-02 4.054328658336506241e-01 0.000000000000000000e+00 5.000000000000000000e+01 4.000000000000000000e+01
1.446835289468483346e-02 4.110954044287873366e-01 0.000000000000000000e+00 4.900000000000000000e+01 3.900000000000000000e+01
1.369455762564353134e-02 4.167579427578994578e-01 0.000000000000000000e+00 5.000000000000000000e+01 4.000000000000000000e+01
1.297199669151096434e-02 4.224204807854734511e-01 0.000000000000000000e+00 5.000000000000000000e+01 4.000000000000000000e+01
1.229664734044210762e-02 4.280830185054294579e-01 0.000000000000000000e+00 4.900000000000000000e+01 3.900000000000000000e+01
1.166485067713529319e-02 4.337455559302178520e-01 0.000000000000000000e+00 4.900000000000000000e+01 3.900000000000000000e+01
1.107327454987885873e-02 4.394080930146558872e-01 0.000000000000000000e+00 4.800000000000000000e+01 3.800000000000000000e+01
1.051888060826023513e-02 4.450706297436188841e-01 0.000000000000000000e+00 4.400000000000000000e+01 3.400000000000000000e+01
